participant,Word,ACC,RT,PoS,Socialness,Concreteness
R_12o60uCi7gQgdDy,replenish,1,0.745,Verb,Nonsocial,2.18
R_12o60uCi7gQgdDy,tolerate,1,0.7103,Verb,Social,1.78
R_12o60uCi7gQgdDy,connect,1,0.9235,Verb,Social,2.88
R_12o60uCi7gQgdDy,uprising,1,NA,Noun,Social,2.41
R_12o60uCi7gQgdDy,remarry,1,1.1471,Verb,Social,2.72
R_12o60uCi7gQgdDy,layer,0,1.566,Noun,Nonsocial,3.52
R_12o60uCi7gQgdDy,fraction,1,NA,Noun,Nonsocial,3.1
R_12o60uCi7gQgdDy,exhibition,1,NA,Noun,Social,3.52
R_12o60uCi7gQgdDy,reconcile,1,0.8453,Verb,Social,1.79
R_12o60uCi7gQgdDy,migraine,1,NA,Noun,Nonsocial,3.2
R_12o60uCi7gQgdDy,conspire,1,0.9108,Verb,Social,2.67
R_12o60uCi7gQgdDy,impediment,1,NA,Noun,Nonsocial,2.56
R_12o60uCi7gQgdDy,mutiny,1,NA,Noun,Social,2.24
R_12o60uCi7gQgdDy,communicate,1,0.9611,Verb,Social,3.43
R_12o60uCi7gQgdDy,foresight,1,NA,Noun,Nonsocial,1.79
