item,e1hit,e1fa,e1h_fa,e2hit,e2fa,e2h_fa,both_hit,both_fa,both_h_fa,d_both,c_both,logzeno,sub_freq,aoa,img_rating,pon,old,pld,Length
flu,0.79,0.07,0.72,0.67,0.10,0.57,0.73,0.08,0.64,1.98,0.39,0.86,4.07,3.75,4.20,3.00,1.85,1.10,3.00
fluff,0.66,0.21,0.44,0.97,0.13,0.83,0.81,0.17,0.64,1.82,0.03,0.54,3.17,4.13,3.80,15.00,1.90,1.70,5.00
fluke,0.83,0.44,0.39,0.90,0.30,0.60,0.87,0.37,0.49,1.44,-0.39,0.23,3.37,5.23,2.90,3.00,1.75,1.45,5.00
flung,0.69,0.36,0.33,0.93,0.40,0.53,0.81,0.38,0.43,1.19,-0.29,1.27,3.07,4.91,3.40,14.00,1.75,1.60,5.00
flush,0.80,0.22,0.58,0.83,0.40,0.43,0.82,0.31,0.51,1.40,-0.21,0.84,4.77,3.44,3.80,13.00,1.70,1.50,5.00
flute,0.93,0.25,0.68,0.77,0.17,0.60,0.85,0.21,0.64,1.84,-0.11,0.89,3.30,3.97,6.30,8.00,1.75,1.40,5.00
flux,0.83,0.26,0.57,0.67,0.23,0.43,0.75,0.25,0.50,1.36,0.01,0.74,2.53,6.06,2.20,2.00,1.80,1.70,4.00
fly,0.60,0.11,0.49,0.57,0.23,0.33,0.58,0.17,0.41,1.16,0.37,2.02,5.13,2.66,5.90,17.00,1.75,1.25,3.00
foal,0.72,0.04,0.69,0.83,0.13,0.70,0.78,0.08,0.69,2.14,0.30,0.56,2.17,5.34,4.00,4.00,1.55,1.00,4.00
foam,0.82,0.03,0.79,0.77,0.00,0.77,0.79,0.02,0.78,2.93,0.65,0.93,3.60,3.47,5.70,3.00,1.70,1.00,4.00
foe,0.59,0.18,0.41,0.73,0.10,0.63,0.66,0.14,0.52,1.50,0.34,0.61,2.93,5.50,3.50,10.00,1.30,1.00,3.00
fog,0.76,0.32,0.44,0.90,0.53,0.37,0.83,0.43,0.40,1.13,-0.38,1.46,3.72,3.47,6.00,11.00,1.40,1.60,3.00
fold,0.55,0.21,0.34,0.43,0.23,0.20,0.49,0.22,0.27,0.74,0.39,1.08,4.93,3.38,5.40,11.00,1.35,1.00,4.00
folk,0.76,0.29,0.47,0.93,0.20,0.73,0.85,0.24,0.60,1.72,-0.16,1.32,3.27,4.44,4.40,2.00,1.80,1.30,4.00
fond,0.61,0.21,0.40,0.77,0.30,0.47,0.69,0.25,0.43,1.15,0.09,1.23,3.27,4.77,2.90,5.00,1.45,1.15,4.00
font,0.63,0.19,0.45,0.83,0.10,0.73,0.73,0.14,0.59,1.69,0.22,0.24,4.69,4.84,4.50,2.00,1.75,1.75,4.00
food,0.52,0.14,0.37,0.57,0.20,0.37,0.54,0.17,0.37,1.05,0.42,2.86,6.48,2.06,6.00,2.00,1.45,1.15,4.00
fool,0.69,0.32,0.37,0.53,0.20,0.33,0.61,0.26,0.35,0.92,0.18,1.38,4.33,4.00,3.70,8.00,1.45,1.10,4.00
foot,0.69,0.18,0.51,0.63,0.30,0.33,0.66,0.24,0.42,1.13,0.15,2.12,5.60,2.09,6.70,1.00,1.40,1.45,4.00
for,0.39,0.00,0.39,0.57,0.03,0.53,0.48,0.02,0.46,2.08,1.09,3.90,6.87,2.28,1.30,5.00,1.30,1.00,3.00
force,0.61,0.24,0.37,0.77,0.20,0.57,0.69,0.22,0.47,1.26,0.14,2.36,4.67,4.16,3.30,1.00,1.70,1.00,5.00
fore,0.74,0.07,0.67,0.73,0.13,0.60,0.74,0.10,0.64,1.92,0.32,0.50,2.27,5.78,1.90,21.00,1.00,1.00,4.00
forge,0.61,0.24,0.37,0.73,0.40,0.33,0.67,0.32,0.35,0.91,0.01,0.74,2.93,5.65,3.30,2.00,1.60,1.75,5.00
fork,0.52,0.21,0.30,0.80,0.20,0.60,0.66,0.21,0.45,1.23,0.20,1.23,5.83,2.53,6.60,5.00,1.45,1.15,4.00
form,0.34,0.25,0.09,0.47,0.17,0.30,0.41,0.21,0.20,0.57,0.53,2.62,4.80,4.13,2.50,5.00,1.35,1.10,4.00
fort,0.68,0.34,0.33,0.63,0.20,0.43,0.66,0.27,0.38,1.01,0.10,1.53,2.80,3.59,6.00,9.00,1.20,1.00,4.00
forth,0.50,0.15,0.35,0.67,0.23,0.43,0.58,0.19,0.39,1.09,0.33,1.88,3.67,4.00,3.20,2.00,1.65,1.45,5.00
fought,0.48,0.32,0.16,0.53,0.20,0.33,0.51,0.26,0.25,0.66,0.31,1.80,4.20,4.19,3.90,8.00,1.80,1.00,6.00
foul,0.89,0.30,0.59,0.73,0.27,0.47,0.81,0.28,0.53,1.45,-0.15,0.89,4.00,4.56,3.60,1.00,1.65,1.55,4.00
found,0.45,0.25,0.20,0.47,0.07,0.40,0.46,0.16,0.30,0.89,0.55,2.85,5.50,3.25,2.70,9.00,1.55,1.30,5.00
four,0.39,0.24,0.15,0.80,0.13,0.67,0.60,0.19,0.41,1.13,0.32,2.55,5.63,2.28,5.90,3.00,1.40,1.00,4.00
fowl,0.62,0.21,0.41,0.77,0.27,0.50,0.69,0.24,0.45,1.21,0.10,0.60,2.87,5.13,5.10,9.00,1.50,1.55,4.00
fox,0.71,0.10,0.61,0.80,0.13,0.67,0.76,0.12,0.64,1.88,0.24,1.73,3.40,2.63,6.40,8.00,1.60,1.30,3.00
frail,0.81,0.37,0.45,0.83,0.43,0.40,0.82,0.40,0.42,1.18,-0.34,0.75,3.33,4.75,3.40,19.00,1.75,1.45,5.00
frame,0.61,0.14,0.47,0.77,0.33,0.43,0.69,0.24,0.45,1.21,0.12,1.61,4.30,4.09,6.00,12.00,1.75,1.50,5.00
fraud,0.76,0.29,0.47,0.87,0.23,0.63,0.81,0.26,0.55,1.53,-0.12,0.72,3.83,5.35,2.90,3.00,1.90,1.60,5.00
fray,0.71,0.45,0.27,0.87,0.37,0.50,0.79,0.41,0.38,1.04,-0.29,0.39,2.43,5.28,3.10,31.00,1.55,1.20,4.00
freak,0.56,0.07,0.49,0.73,0.13,0.60,0.64,0.10,0.54,1.65,0.46,0.48,4.73,4.34,4.30,14.00,1.75,1.30,5.00
free,0.50,0.14,0.36,0.63,0.13,0.50,0.57,0.14,0.43,1.27,0.47,2.31,5.37,3.47,3.00,20.00,1.60,1.15,4.00
freeze,0.75,0.17,0.58,0.90,0.13,0.77,0.83,0.15,0.54,1.96,0.04,1.11,4.53,3.53,5.20,5.00,1.80,1.20,6.00
freight,0.86,0.29,0.58,0.80,0.30,0.50,0.83,0.29,0.54,1.50,-0.21,1.03,3.07,5.13,4.70,3.00,2.15,1.15,7.00
fresh,0.50,0.21,0.29,0.73,0.27,0.47,0.62,0.24,0.38,1.01,0.21,1.98,5.27,3.72,3.20,4.00,1.95,1.80,5.00
fret,0.48,0.20,0.28,0.83,0.10,0.73,0.66,0.15,0.51,1.44,0.32,0.38,2.90,5.28,2.60,15.00,1.85,1.65,4.00
friend,0.68,0.14,0.54,0.87,0.07,0.80,0.77,0.10,0.67,2.02,0.26,2.30,6.10,2.50,5.60,1.00,1.85,1.70,6.00
fright,0.76,0.29,0.47,0.57,0.20,0.37,0.66,0.24,0.42,1.12,0.14,0.97,3.50,4.23,3.30,18.00,1.70,1.40,6.00
fringe,0.68,0.31,0.37,0.87,0.33,0.53,0.77,0.32,0.45,1.21,-0.14,0.84,3.53,5.16,4.60,8.00,1.85,1.80,6.00
frock,0.68,0.21,0.47,0.70,0.20,0.50,0.69,0.20,0.49,1.32,0.17,0.58,2.47,5.63,3.00,20.00,1.85,1.70,5.00
frog,0.83,0.11,0.72,0.80,0.07,0.73,0.81,0.09,0.73,2.25,0.23,1.81,4.17,2.44,6.70,11.00,1.80,1.70,4.00
from,0.28,0.11,0.17,0.57,0.13,0.43,0.42,0.12,0.30,0.98,0.69,3.65,6.50,3.00,2.00,1.00,1.90,1.70,4.00
front,0.64,0.10,0.54,0.80,0.20,0.60,0.72,0.15,0.57,1.62,0.22,2.47,5.17,2.94,4.40,1.00,1.80,1.75,5.00
frost,0.78,0.17,0.61,0.60,0.07,0.53,0.69,0.12,0.57,1.68,0.35,1.31,3.63,3.66,5.80,3.00,1.85,1.80,5.00
froth,0.76,0.21,0.54,0.87,0.37,0.50,0.81,0.29,0.52,1.44,-0.17,0.35,2.13,5.88,3.10,7.00,1.90,1.80,5.00
frown,0.79,0.21,0.58,0.67,0.13,0.53,0.73,0.17,0.56,1.56,0.18,0.92,3.77,3.06,5.80,8.00,1.70,1.70,5.00
froze,0.67,0.04,0.63,0.73,0.17,0.57,0.70,0.10,0.60,1.80,0.37,0.95,4.13,3.78,5.00,2.00,1.95,1.15,5.00
fruit,0.68,0.14,0.54,0.73,0.07,0.67,0.71,0.10,0.60,1.81,0.36,1.76,5.60,2.81,6.30,2.00,1.90,1.60,5.00
fry,0.59,0.07,0.51,0.83,0.07,0.77,0.71,0.07,0.64,2.04,0.47,0.83,4.87,3.53,5.40,17.00,1.60,1.35,3.00
full,0.39,0.10,0.29,0.70,0.10,0.60,0.55,0.10,0.44,1.39,0.58,2.33,6.33,2.94,3.40,2.00,1.25,1.20,4.00
fun,0.59,0.18,0.41,0.73,0.17,0.57,0.66,0.17,0.49,1.36,0.27,2.05,6.27,2.41,3.60,12.00,1.30,1.00,3.00
fund,0.52,0.10,0.42,0.63,0.10,0.53,0.58,0.10,0.48,1.47,0.55,1.20,4.13,4.66,3.40,2.00,1.65,1.35,4.00
funk,0.72,0.18,0.55,0.83,0.20,0.63,0.78,0.19,0.59,1.65,0.06,0.17,3.78,4.91,2.60,19.00,1.40,1.50,4.00
fur,0.77,0.19,0.58,0.87,0.20,0.67,0.82,0.19,0.62,1.77,-0.02,1.70,3.67,3.22,6.40,5.00,1.55,1.40,3.00
fuse,0.66,0.14,0.51,0.73,0.33,0.40,0.69,0.24,0.46,1.22,0.10,0.92,3.43,5.22,4.10,5.00,1.65,1.25,4.00
fuss,0.63,0.27,0.36,0.73,0.10,0.63,0.68,0.18,0.50,1.37,0.22,0.96,3.50,3.50,2.70,5.00,1.60,1.40,4.00
fuzz,0.79,0.14,0.65,0.87,0.23,0.63,0.83,0.19,0.64,1.84,-0.03,0.32,3.30,3.53,5.50,2.00,1.85,1.40,4.00
gab,0.76,0.18,0.58,0.83,0.30,0.53,0.80,0.24,0.56,1.54,-0.06,0.07,2.73,5.53,3.20,15.00,1.25,1.20,3.00
gag,0.75,0.31,0.44,0.73,0.17,0.57,0.74,0.24,0.50,1.36,0.03,0.45,3.27,4.29,4.10,22.00,1.00,1.00,3.00
gain,0.55,0.14,0.41,0.63,0.23,0.40,0.59,0.19,0.40,1.12,0.33,1.73,5.07,3.91,2.80,21.00,1.35,1.00,4.00
gait,0.69,0.14,0.55,0.73,0.33,0.40,0.71,0.24,0.47,1.27,0.08,0.60,2.20,5.66,2.60,6.00,1.80,1.00,4.00
gale,0.66,0.18,0.48,0.80,0.27,0.53,0.73,0.22,0.50,1.37,0.08,0.79,2.50,5.65,2.80,16.00,1.00,1.00,4.00
gall,0.78,0.23,0.54,0.77,0.23,0.53,0.77,0.23,0.54,1.47,-0.01,0.47,2.87,5.84,2.30,13.00,1.15,1.00,4.00
game,0.62,0.14,0.48,0.80,0.07,0.73,0.71,0.10,0.61,1.81,0.35,2.21,5.30,2.61,4.90,12.00,1.30,1.00,4.00
gang,0.86,0.07,0.79,0.80,0.17,0.63,0.83,0.12,0.71,2.13,0.12,1.25,4.77,4.41,5.50,16.00,1.50,1.15,4.00
gap,0.78,0.30,0.48,0.87,0.37,0.50,0.82,0.33,0.49,1.35,-0.25,1.34,4.67,3.69,4.90,23.00,1.05,1.00,3.00
garb,0.67,0.30,0.37,0.77,0.33,0.43,0.72,0.31,0.40,1.06,-0.05,0.43,2.10,5.97,3.00,2.00,1.85,1.80,4.00
gas,0.72,0.11,0.62,0.80,0.07,0.73,0.76,0.09,0.68,2.07,0.32,2.19,5.13,3.34,5.70,1.00,1.30,1.00,3.00
gash,0.76,0.29,0.47,0.80,0.40,0.40,0.78,0.34,0.44,1.17,-0.18,0.43,2.90,4.88,4.20,22.00,1.25,1.00,4.00
gasp,0.79,0.34,0.44,0.73,0.43,0.30,0.76,0.39,0.37,0.99,-0.21,0.72,3.20,4.47,4.10,6.00,1.60,1.55,4.00
gate,0.57,0.26,0.31,0.80,0.23,0.57,0.68,0.25,0.44,1.16,0.10,1.73,4.30,3.34,6.10,19.00,1.05,1.00,4.00
gaunt,0.86,0.39,0.47,0.90,0.40,0.50,0.88,0.40,0.48,1.44,-0.46,0.73,2.30,6.00,2.60,7.00,1.70,1.70,5.00
gauze,0.93,0.25,0.68,0.93,0.27,0.67,0.93,0.26,0.67,2.14,-0.42,0.41,2.90,5.19,5.20,1.00,1.85,1.15,5.00
gave,0.43,0.07,0.36,0.57,0.10,0.47,0.50,0.08,0.41,1.37,0.69,2.48,5.70,3.00,2.30,17.00,1.20,1.05,4.00
gay,0.90,0.11,0.79,0.93,0.03,0.90,0.92,0.07,0.84,2.84,0.04,1.11,5.37,5.53,3.60,31.00,1.05,1.00,3.00
gaze,0.66,0.36,0.30,0.90,0.37,0.53,0.78,0.36,0.42,1.12,-0.21,1.13,3.53,4.59,4.00,12.00,1.10,1.00,4.00
gear,0.50,0.19,0.31,0.87,0.10,0.77,0.68,0.14,0.54,1.55,0.30,1.44,4.20,4.19,4.80,16.00,1.35,1.00,4.00
geese,0.76,0.07,0.69,1.00,0.10,0.90,0.88,0.09,0.79,2.54,0.10,1.18,3.13,3.63,6.40,1.00,2.00,1.45,5.00
gem,0.71,0.10,0.61,0.83,0.17,0.67,0.77,0.14,0.64,1.85,0.18,0.42,2.73,3.88,6.30,5.00,1.65,1.60,3.00
gene,0.52,0.07,0.45,0.63,0.20,0.43,0.58,0.14,0.44,1.29,0.45,1.36,4.03,5.63,3.80,2.00,1.75,1.50,4.00
get,0.36,0.00,0.36,0.43,0.03,0.40,0.40,0.02,0.38,1.86,1.20,3.05,6.77,2.50,1.70,15.00,1.20,1.05,3.00
ghost,0.81,0.30,0.51,0.87,0.10,0.77,0.84,0.20,0.64,1.84,-0.08,1.52,3.90,2.97,6.60,4.00,1.90,1.30,5.00
ghoul,0.72,0.11,0.62,0.93,0.10,0.83,0.83,0.10,0.73,2.21,0.16,0.09,2.37,5.25,5.00,1.00,1.95,1.05,5.00
gift,0.44,0.07,0.38,0.77,0.10,0.67,0.61,0.08,0.52,1.65,0.56,1.55,4.60,2.91,6.10,9.00,1.70,1.55,4.00
gig,0.81,0.13,0.68,0.73,0.13,0.60,0.77,0.13,0.64,1.86,0.18,0.27,3.33,5.19,3.60,15.00,1.55,1.50,3.00
gill,0.86,0.25,0.61,0.87,0.20,0.67,0.86,0.23,0.64,1.86,-0.17,0.63,2.63,4.25,5.00,28.00,1.15,1.00,4.00
gilt,0.79,0.14,0.65,0.83,0.23,0.60,0.81,0.19,0.62,1.77,0.01,0.48,1.83,6.03,2.20,13.00,1.35,1.35,4.00
gin,0.83,0.30,0.54,0.80,0.10,0.70,0.82,0.20,0.62,1.75,-0.03,0.74,3.60,6.00,5.10,20.00,1.25,1.30,3.00
girl,0.70,0.19,0.51,0.60,0.00,0.60,0.65,0.09,0.56,1.71,0.47,2.34,6.37,2.19,6.30,5.00,1.85,1.60,4.00
girth,0.76,0.11,0.65,0.90,0.13,0.77,0.83,0.12,0.71,2.13,0.11,0.23,2.70,5.81,2.90,4.00,1.90,1.60,5.00
gist,0.86,0.11,0.75,0.80,0.17,0.63,0.83,0.14,0.69,2.05,0.07,0.18,3.53,5.91,2.10,9.00,1.65,1.80,4.00
give,0.45,0.07,0.38,0.50,0.07,0.43,0.47,0.07,0.41,1.42,0.77,2.64,6.20,2.44,2.80,2.00,1.50,1.65,4.00
glad,0.54,0.28,0.26,0.83,0.20,0.63,0.68,0.24,0.45,1.19,0.12,1.90,5.60,3.09,3.00,17.00,1.70,1.50,4.00
glance,0.68,0.14,0.54,0.70,0.10,0.60,0.69,0.12,0.57,1.67,0.34,1.47,4.27,4.34,4.20,8.00,1.80,1.80,6.00
gland,0.70,0.23,0.47,0.87,0.23,0.63,0.79,0.23,0.55,1.52,-0.03,1.16,3.07,5.47,3.90,12.00,1.75,1.55,5.00
glare,0.97,0.25,0.72,0.83,0.27,0.57,0.90,0.26,0.64,1.93,-0.31,0.94,3.63,4.53,3.70,20.00,1.65,1.50,5.00
glass,0.67,0.22,0.44,0.73,0.27,0.47,0.70,0.24,0.46,1.22,0.08,2.15,5.60,3.13,6.50,11.00,1.75,1.50,5.00
glaze,0.72,0.39,0.33,0.83,0.53,0.30,0.78,0.46,0.32,0.86,-0.34,0.53,3.00,4.75,4.30,12.00,1.55,1.50,5.00
gleam,0.55,0.36,0.19,0.67,0.30,0.37,0.61,0.33,0.28,0.72,0.08,0.70,2.90,5.22,3.40,11.00,1.90,1.65,5.00
glee,0.66,0.11,0.55,0.77,0.17,0.60,0.71,0.14,0.57,1.65,0.27,0.52,2.50,4.63,2.80,20.00,1.80,1.20,4.00
glib,0.81,0.07,0.75,0.83,0.27,0.57,0.82,0.17,0.66,1.90,0.02,0.18,1.93,6.68,1.90,11.00,2.00,1.95,4.00
glide,0.62,0.25,0.37,0.70,0.33,0.37,0.66,0.29,0.37,0.96,0.07,0.78,3.24,4.29,3.70,15.00,1.70,1.55,5.00
glimpse,0.86,0.07,0.79,0.67,0.10,0.57,0.76,0.08,0.68,2.09,0.33,1.13,3.40,5.38,3.60,1.00,2.75,1.90,7.00
glint,0.61,0.17,0.43,0.80,0.20,0.60,0.70,0.19,0.52,1.43,0.18,0.55,2.33,5.72,2.40,15.00,1.90,1.90,5.00
gloat,0.72,0.29,0.44,0.80,0.27,0.53,0.76,0.28,0.49,1.31,-0.06,0.09,2.93,5.28,2.80,9.00,1.75,1.50,5.00
globe,0.64,0.14,0.50,0.70,0.17,0.53,0.67,0.15,0.52,1.47,0.29,1.55,3.47,3.59,6.40,4.00,1.85,1.65,5.00
gloom,0.93,0.43,0.49,0.93,0.43,0.50,0.93,0.43,0.50,1.64,-0.65,0.93,3.81,4.56,3.20,9.00,1.80,1.45,5.00
gloss,0.79,0.29,0.51,0.77,0.13,0.63,0.78,0.21,0.57,1.58,0.02,0.40,3.63,4.50,5.20,8.00,1.70,1.85,5.00
glove,0.75,0.17,0.58,0.80,0.30,0.50,0.78,0.24,0.54,1.47,-0.02,0.92,4.40,3.16,6.20,4.00,1.70,1.75,5.00
glow,0.64,0.14,0.50,0.80,0.27,0.53,0.72,0.20,0.52,1.42,0.12,1.31,3.70,3.53,4.70,17.00,1.60,1.15,4.00
glue,0.67,0.03,0.63,0.70,0.13,0.57,0.68,0.08,0.60,1.86,0.45,1.18,3.70,2.78,6.40,12.00,1.65,1.20,4.00
glum,0.62,0.25,0.37,0.87,0.20,0.67,0.74,0.23,0.52,1.41,0.05,0.35,3.03,4.94,2.70,16.00,1.70,1.60,4.00
gnaw,0.80,0.26,0.54,0.70,0.30,0.40,0.75,0.28,0.47,1.26,-0.05,0.40,3.27,4.56,3.80,19.00,1.95,1.00,4.00
gnome,0.90,0.07,0.83,0.90,0.10,0.80,0.90,0.09,0.81,2.64,0.04,0.07,2.43,4.97,5.20,6.00,1.95,1.00,5.00
go,0.76,0.07,0.69,0.57,0.03,0.53,0.66,0.05,0.61,2.04,0.60,3.00,6.37,2.06,2.20,5.00,1.35,1.00,2.00
goal,0.63,0.30,0.34,0.80,0.37,0.43,0.72,0.33,0.39,1.01,-0.07,1.69,4.93,3.56,4.00,4.00,1.70,1.00,4.00
goat,0.75,0.17,0.58,0.80,0.17,0.63,0.78,0.17,0.61,1.71,0.10,1.37,3.10,2.69,6.90,9.00,1.45,1.00,4.00
gob,0.86,0.14,0.72,0.93,0.27,0.67,0.90,0.20,0.69,2.09,-0.22,0.07,2.07,5.23,3.00,18.00,1.35,1.30,3.00
gold,0.72,0.04,0.69,0.80,0.17,0.63,0.76,0.10,0.66,1.99,0.28,2.25,4.37,3.16,6.30,11.00,1.35,1.00,4.00
golf,0.59,0.18,0.41,0.80,0.13,0.67,0.69,0.16,0.54,1.52,0.25,1.06,4.20,3.75,6.50,1.00,1.80,1.90,4.00
gone,0.61,0.17,0.43,0.57,0.13,0.43,0.59,0.15,0.43,1.24,0.40,2.35,5.83,2.97,2.60,1.00,1.35,1.00,4.00
gong,0.71,0.07,0.65,0.80,0.10,0.70,0.76,0.08,0.67,2.07,0.34,0.47,2.27,5.22,4.00,13.00,1.60,1.35,4.00
good,0.33,0.17,0.17,0.43,0.13,0.30,0.38,0.15,0.23,0.74,0.67,3.01,6.59,2.16,2.60,2.00,1.40,1.50,4.00
goose,0.79,0.28,0.51,0.87,0.27,0.60,0.83,0.27,0.55,1.55,-0.17,1.21,3.31,2.78,6.90,4.00,1.85,1.30,5.00
gosh,0.76,0.07,0.69,0.77,0.00,0.77,0.76,0.04,0.73,2.52,0.54,0.64,4.60,3.59,1.70,8.00,1.70,1.55,4.00
got,0.43,0.10,0.33,0.60,0.17,0.43,0.51,0.14,0.38,1.14,0.53,2.80,6.53,2.81,1.80,23.00,1.10,1.00,3.00
gouge,0.93,0.28,0.65,0.97,0.27,0.70,0.95,0.27,0.68,2.23,-0.51,0.23,2.77,5.66,3.00,1.00,1.80,1.95,5.00
gourd,0.64,0.07,0.57,0.57,0.27,0.30,0.60,0.17,0.44,1.23,0.35,0.58,2.37,5.69,4.50,1.00,2.00,1.00,5.00
gown,0.83,0.07,0.76,0.67,0.10,0.57,0.75,0.09,0.66,2.03,0.35,0.88,3.55,4.28,6.00,8.00,1.65,1.65,4.00
grab,0.79,0.50,0.29,0.83,0.30,0.53,0.81,0.40,0.41,1.14,-0.32,1.13,5.10,3.38,4.60,15.00,1.55,1.50,4.00
grace,0.71,0.14,0.58,0.83,0.13,0.70,0.77,0.14,0.64,1.85,0.17,1.33,3.37,3.84,3.30,12.00,1.40,1.00,5.00
grade,0.64,0.21,0.44,0.73,0.17,0.57,0.69,0.19,0.50,1.38,0.20,1.68,5.47,3.22,4.90,12.00,1.40,1.00,5.00
graft,0.75,0.21,0.54,0.87,0.20,0.67,0.81,0.20,0.60,1.70,-0.02,0.45,2.37,6.41,2.10,11.00,1.80,1.60,5.00
grail,0.69,0.07,0.62,0.83,0.17,0.67,0.76,0.12,0.64,1.89,0.23,0.13,2.10,5.87,3.10,19.00,1.80,1.10,5.00
grain,0.68,0.28,0.40,0.70,0.20,0.50,0.69,0.24,0.45,1.21,0.11,1.70,3.50,4.09,5.80,21.00,1.55,1.00,5.00
grand,0.48,0.14,0.34,0.63,0.10,0.53,0.56,0.12,0.44,1.31,0.51,1.56,4.03,4.26,2.70,12.00,1.65,1.40,5.00
grant,0.63,0.23,0.40,0.70,0.17,0.53,0.66,0.20,0.46,1.27,0.21,1.35,4.03,4.97,3.10,11.00,1.70,1.55,5.00
grape,0.72,0.25,0.47,0.83,0.13,0.70,0.78,0.19,0.59,1.64,0.05,0.71,4.07,2.66,6.70,12.00,1.40,1.05,5.00
graph,0.61,0.17,0.43,0.77,0.10,0.67,0.69,0.14,0.55,1.58,0.31,1.34,4.43,4.28,6.20,1.00,1.90,1.50,5.00
grasp,0.66,0.46,0.19,0.90,0.40,0.50,0.78,0.43,0.35,0.93,-0.30,1.17,3.70,4.34,4.10,6.00,1.85,1.65,5.00
grass,0.62,0.25,0.37,0.90,0.20,0.70,0.76,0.23,0.54,1.46,0.02,2.14,5.00,2.61,6.90,11.00,1.55,1.15,5.00
grate,0.63,0.30,0.33,0.70,0.13,0.57,0.66,0.22,0.45,1.21,0.18,0.47,3.27,4.78,4.00,19.00,1.35,1.00,5.00
grave,0.79,0.24,0.54,0.83,0.27,0.57,0.81,0.25,0.56,1.54,-0.11,1.27,3.23,3.87,6.50,17.00,1.25,1.00,5.00
gray,0.69,0.07,0.62,0.60,0.07,0.53,0.64,0.07,0.58,1.85,0.56,2.00,4.50,2.78,5.90,31.00,1.45,1.00,4.00
graze,0.85,0.17,0.69,0.97,0.23,0.73,0.91,0.20,0.71,2.18,-0.25,0.81,2.60,4.31,4.50,12.00,1.50,1.00,5.00
grease,0.76,0.21,0.54,0.90,0.20,0.70,0.83,0.21,0.62,1.77,-0.07,1.00,3.80,3.81,5.70,4.00,1.75,1.25,6.00
great,0.24,0.14,0.10,0.60,0.10,0.50,0.42,0.12,0.30,0.97,0.68,2.92,6.31,3.03,2.50,1.00,1.85,1.00,5.00
greed,0.77,0.26,0.51,0.67,0.17,0.50,0.72,0.21,0.50,1.37,0.11,0.64,4.13,4.50,3.40,18.00,1.55,1.15,5.00
green,0.63,0.03,0.60,0.80,0.07,0.73,0.71,0.05,0.66,2.21,0.54,2.36,4.90,2.19,6.20,9.00,1.75,1.30,5.00
greet,0.55,0.04,0.52,0.60,0.17,0.43,0.58,0.10,0.47,1.47,0.54,1.01,4.57,3.88,3.50,12.00,1.75,1.30,5.00
grew,0.45,0.14,0.31,0.70,0.33,0.37,0.57,0.24,0.34,0.90,0.26,2.29,4.10,3.34,3.20,26.00,1.70,1.10,4.00
grid,0.64,0.24,0.40,0.77,0.40,0.37,0.70,0.32,0.38,1.00,-0.04,1.05,3.20,5.03,4.60,12.00,1.60,1.20,4.00
grief,0.93,0.20,0.73,0.70,0.23,0.47,0.81,0.22,0.60,1.67,-0.05,1.11,4.10,4.94,3.50,5.00,1.95,1.45,5.00
grill,0.74,0.37,0.37,0.80,0.20,0.60,0.77,0.28,0.49,1.31,-0.08,0.41,4.33,3.88,5.90,28.00,1.80,1.30,5.00
grim,0.68,0.17,0.51,0.90,0.43,0.47,0.79,0.30,0.49,1.32,-0.14,1.00,3.20,5.31,3.00,15.00,1.40,1.35,4.00
grime,0.76,0.46,0.29,0.93,0.33,0.60,0.85,0.40,0.45,1.28,-0.38,0.31,2.37,5.00,3.80,11.00,1.60,1.50,5.00
grin,0.57,0.21,0.36,0.60,0.17,0.43,0.59,0.19,0.40,1.11,0.34,1.17,3.70,3.25,5.60,20.00,1.50,1.30,4.00
grind,0.82,0.31,0.51,0.77,0.37,0.40,0.79,0.34,0.46,1.24,-0.20,0.92,4.03,4.29,4.00,9.00,1.70,1.70,5.00
grip,0.76,0.43,0.33,0.77,0.43,0.33,0.76,0.43,0.33,0.89,-0.27,1.14,4.07,3.90,4.50,26.00,1.55,1.20,4.00
gripe,0.93,0.41,0.51,0.80,0.33,0.47,0.86,0.37,0.49,1.42,-0.39,0.07,2.97,5.34,3.00,8.00,1.60,1.70,5.00
grit,0.82,0.31,0.51,0.93,0.33,0.60,0.88,0.32,0.56,1.62,-0.35,0.37,3.23,4.25,4.00,26.00,1.60,1.25,4.00
groan,0.75,0.21,0.54,0.90,0.30,0.60,0.83,0.25,0.57,1.60,-0.14,0.67,3.63,4.22,3.60,5.00,1.85,1.20,5.00
groin,0.86,0.10,0.75,0.83,0.17,0.67,0.85,0.14,0.71,2.12,0.04,0.27,3.50,5.38,5.10,5.00,1.80,1.95,5.00
groom,0.67,0.40,0.27,0.80,0.37,0.43,0.73,0.38,0.35,0.92,-0.16,0.74,3.23,4.28,5.70,9.00,1.80,1.45,5.00
groove,0.79,0.24,0.54,0.87,0.23,0.63,0.83,0.24,0.59,1.65,-0.11,0.87,3.53,4.52,4.10,1.00,1.85,1.50,6.00
grope,0.79,0.14,0.65,0.80,0.20,0.60,0.80,0.17,0.63,1.78,0.06,0.18,3.17,6.13,3.30,13.00,1.75,1.35,5.00
gross,0.66,0.29,0.37,0.83,0.17,0.67,0.74,0.23,0.52,1.41,0.05,1.19,5.37,3.47,3.80,1.00,1.75,1.35,5.00
grouch,0.72,0.29,0.44,0.80,0.10,0.70,0.76,0.19,0.57,1.58,0.08,0.46,3.63,4.19,3.50,6.00,2.00,1.90,6.00
