word_us,n_phon,phono_upoint,pld20_m,pld20_sd,sg_ldt_acc,sg_ldt_acc_n,us_ldt_acc,us_ldt_acc_n,uk_ldt_acc,uk_ldt_acc_n,sg_ldt_zrt_m,sg_ldt_zrt_sd,sg_ldt_zrt_n,us_ldt_zrt_m,us_ldt_zrt_sd,us_ldt_zrt_n,uk_ldt_zrt_m,uk_ldt_zrt_sd,uk_ldt_zrt_n,sg_ldt_zrtmdur_m,sg_ldt_zrtmdur_sd,sg_ldt_zrtmdur_n,us_ldt_zrtmdur_m,us_ldt_zrtmdur_sd,us_ldt_zrtmdur_n,uk_ldt_zrtmdur_m,uk_ldt_zrtmdur_sd,uk_ldt_zrtmdur_n,...30
resuscitate,9,9,3.65,0.5871429486124,0.981132075,53,0.910447761,67,0.925925926,54,0.131181193,0.629558101,52,0.26729781,0.545615863,59,0.20524044,0.708652062,49,-1.074107714,0.605112484,52,-0.641152276,0.534824001,59,-0.778931112,0.553573522,49,NA
retail,5,6,1.75,0.444261658319319,0.927272727,55,0.939393939,66,0.946428571,56,-0.373132706,0.468914515,51,-0.415145424,0.500043387,59,-0.424119193,0.493603101,52,-0.120231061,0.647898161,51,-0.284252025,0.507901748,59,-0.046411721,0.530891571,52,NA
retain,5,6,1.75,0.444261658319319,1,54,0.984615385,65,0.982142857,56,-0.467386252,0.523975864,53,-0.80619164,0.409950502,63,-0.401790438,0.635105914,54,-0.434056746,0.412532396,53,-0.389980069,0.381728572,63,-0.281556101,0.587238805,54,NA
retake,5,5,1.9,0.307793505625546,0.796296296,54,0.865671642,67,0.859649123,57,-0.085613137,0.726034156,43,0.035170677,0.756508485,57,-0.195300488,0.421432167,47,0.314575098,0.7321793,43,0.090702565,0.718293257,57,0.136187772,0.475747914,47,NA
retaliate,8,8,3.75,0.444261658319319,0.981132075,53,1,67,0.981481481,54,-0.304155891,0.491657344,52,-0.351276381,0.619839483,67,-0.284849112,0.486547571,52,-0.33293334,0.532007375,52,-0.969100653,0.751692654,67,-1.141728737,0.607132695,52,NA
retina,5,6,2.15,0.489360484929592,0.759259259,54,0.878787879,66,0.875,56,-0.152363765,0.575005809,40,-0.300503028,0.49465694,54,-0.282952824,0.502060271,47,0.356066066,0.562298186,40,0.410014073,0.61891243,54,0.752369293,0.556061885,47,NA
retire,6,7,1.9,0.307793505625546,1,54,0.984848485,66,1,57,-0.32559044,0.662498344,54,-0.57742732,0.376839957,65,-0.53367953,0.420588687,57,-0.392536868,0.644764994,54,-0.41389096,0.467901543,65,-0.084395068,0.43373158,57,NA
retrace,6,5,2.7,0.47016234598162704,0.981481481,54,0.955223881,67,0.912280702,57,0.055585797,0.578060475,53,0.145508725,0.668439306,64,-0.029949079,0.541351565,51,-0.150736698,0.497754454,53,-0.206790199,0.611053714,64,-0.660002396,0.550953603,51,NA
retract,7,8,2.2,0.7677718959499139,0.854545455,55,1,66,1,57,-0.241499473,0.629071754,46,-0.436547735,0.571463618,66,-0.188596619,0.706320261,56,-0.034924959,0.652500314,46,-0.294226049,0.556935919,66,-0.483992065,0.726179971,56,NA
retreat,6,6,2.1,0.447213595499957,0.925925926,54,1,67,1,57,-0.241798286,0.447944148,49,-0.571099518,0.456245609,67,-0.462419614,0.536905348,55,-0.121840837,0.377518443,49,-0.396475438,0.450410258,67,-0.029518353,0.548814822,55,NA
retrieve,6,7,2.4,0.68055704737872,0.981132075,53,0.970588235,68,1,55,-0.012898066,0.847978464,51,-0.075252794,0.726944561,64,-0.25391378,0.661084529,52,-0.495744958,0.646956303,51,-0.58839903,1.019040475,64,-0.664570946,0.619434585,52,NA
retrospect,10,11,3.95,0.944513241388332,0.981818182,55,0.96969697,66,1,57,0.081834255,0.746803389,53,0.262143209,0.699973578,62,-0.119365427,0.642955357,56,-0.564742296,0.663045586,53,-0.977113361,0.576360457,62,-0.775047472,0.572275625,56,NA
return,6,4,2,0,0.981132075,53,0.985294118,68,1,55,-0.413803406,0.592225088,50,-0.315073925,0.793159393,65,-0.278866074,0.831382624,54,-0.445169848,0.558385974,50,-0.27388887,0.83204873,65,-0.420947042,0.827703022,54,NA
reunion,8,6,3.75,0.55011960422018,0.981481481,54,0.984615385,65,0.964285714,56,-0.392094204,0.460378672,52,-0.404355785,0.488251087,64,-0.396625607,0.436024237,54,-0.867775916,0.456546625,52,-0.521549583,0.479507365,64,-0.54840976,0.443434362,54,NA
reveal,5,6,1.85,0.36634754853252305,0.981818182,55,1,66,0.964912281,57,-0.428296448,0.641427387,53,-0.758583846,0.604630702,66,-0.508530607,0.610052883,55,-0.449948705,0.573241833,53,-0.329195249,0.602620473,66,-0.23702633,0.535471519,55,NA
revelation,9,6,2.3,0.656946685331786,0.981481481,54,1,66,0.982142857,56,-0.057766146,0.517844014,52,-0.404521629,0.442871299,65,-0.194287678,0.541033977,54,-0.508442139,0.493830874,52,-0.546504014,0.487034277,65,-0.417471004,0.569023254,54,NA
revenge,6,4,2.6,0.5982430416161191,1,53,1,68,0.981481481,54,-0.436744973,0.552730974,51,-0.442897618,0.525321913,68,-0.112620666,0.639924715,53,-0.801937058,0.415287805,51,-0.857419281,0.665870527,68,-1.02714977,0.585950972,53,NA
revenue,7,5,2.8,0.410391340834061,1,54,0.954545455,66,1,57,-0.654524549,0.491655696,54,-0.644437487,0.51562651,63,-0.661492231,0.600768741,57,-0.616698142,0.503801454,54,-0.312525959,0.545682937,63,-0.098630727,0.609492896,57,NA
reverence,8,8,1.95,0.686332741153259,0.890909091,55,0.893939394,66,0.877192982,57,0.156049168,0.804391024,49,-0.071287377,0.677818748,57,-0.333149311,0.615292773,49,-0.395993585,0.718241576,49,-0.440782059,0.637027912,57,-0.983724375,0.720273815,49,NA
reversal,8,8,2.65,0.5871429486124,0.981481481,54,0.985074627,67,0.982142857,56,0.147850371,0.709395967,51,-0.282966837,0.748313459,64,-0.064868844,0.483723742,53,-0.265170379,0.706859893,51,-0.019028158,0.747468224,64,-0.089790166,0.529067307,53,NA
reverse,6,7,1.7,0.47016234598162704,0.981481481,54,1,66,1,56,-0.435801716,0.604566509,52,-0.691209241,0.720112206,66,-0.452287134,0.513189125,56,-0.264048498,0.612243517,52,-0.635330687,0.78384294,66,-1.458456402,0.631476584,56,NA
review,5,6,2.1,0.447213595499957,1,54,0.969230769,65,0.929824561,57,-0.566731824,0.594554988,52,-0.711910381,0.634766693,63,-0.357077838,0.638841408,51,-0.585283408,0.574675087,52,-0.210734028,0.656399374,63,-0.286549547,0.634743016,51,NA
revise,5,6,1.8,0.410391340834061,0.962962963,54,1,66,0.946428571,56,0.297692159,0.854361482,51,-0.262262792,0.855617348,64,0.186601358,0.701205786,49,-0.018692487,0.688557945,51,-0.636356289,0.825881402,64,-0.364076309,0.790162027,49,NA
revival,7,8,2.7,0.47016234598162704,1,53,1,68,0.944444444,54,-0.470799956,0.583036761,53,-0.514726391,0.628719116,66,0.154980853,0.605082535,51,-0.498396673,0.594778335,53,-0.262672043,0.695029507,66,-0.376881258,0.540483204,51,NA
revive,5,6,1.9,0.307793505625546,1,54,0.970149254,67,0.982142857,56,-0.367260914,0.716487492,53,-0.398867237,0.742728897,65,-0.157983379,0.741792109,53,-0.487785826,0.553505702,53,-0.71332854,0.689659413,65,-0.30896394,0.749426089,53,NA
revoke,5,5,2,0.45883146774112304,1,55,0.984848485,66,0.964912281,57,-0.207123925,0.747782829,52,-0.601964876,0.519303871,65,0.056410991,0.592939471,55,-0.242829488,0.484258666,52,-0.184910786,0.516050949,65,-0.016970966,0.556674476,55,NA
revolt,6,5,2.55,0.51041778553404,1,53,0.955882353,68,0.759259259,54,-0.441718172,0.835842199,48,-0.363635072,0.597960616,65,-0.198339023,0.575835764,38,-0.2292422,0.749988465,48,-0.355819066,0.562522497,65,-0.312898158,0.594507416,38,NA
revolution,9,10,2.45,0.759154654516248,0.962264151,53,0.970588235,68,0.945454545,55,-0.283653486,0.526683589,50,-0.256924655,0.505796392,62,-0.370469648,0.398186235,52,-0.932347819,0.516116512,50,-0.43132895,0.510757923,62,-0.67005224,0.402308284,52,NA
revolve,6,7,2.45,0.604805318829299,0.981818182,55,0.984848485,66,0.98245614,57,-0.458872029,0.532781617,53,-0.234625504,0.583771533,64,-0.199375464,0.521271654,54,-1.085000966,0.533439876,53,-0.718353726,0.517924312,64,-0.954562981,0.519855861,54,NA
revolver,8,7,3.45,0.604805318829299,0.924528302,53,1,68,0.945454545,55,0.029678106,0.647644465,48,-0.094232828,0.587427414,66,-0.056910145,0.481754283,50,-0.083699275,0.545696946,48,-0.264366518,0.528879194,66,-0.06250631,0.473438451,50,NA
reward,6,7,2.2,0.523148363780596,1,53,0.970149254,67,1,54,-0.944841398,0.488827864,52,-0.636949023,0.729786838,65,-0.659520468,0.563699367,53,-0.214961834,0.489829414,52,-0.659990829,0.720993508,65,-0.642975109,0.646584151,53,NA
rhinoceros,9,4,3.95,0.223606797749978,0.945454545,55,0.984848485,66,1,56,-0.043678086,0.651779205,52,-0.09026902,0.583227457,65,-0.292230172,0.478563836,56,-1.096902048,0.669080992,52,-1.137461968,0.549154952,65,-1.365275764,0.506728426,56,NA
rhyme,3,4,1,0,0.925925926,54,0.96969697,66,0.98245614,57,-0.299930405,0.958753622,50,-0.543551183,0.803310467,64,-0.128854292,0.671276624,54,0.506454436,0.951376274,50,0.100105634,0.817161149,64,0.257864361,0.711523314,54,NA
rhythm,5,4,2,0,1,55,1,66,1,56,-0.845699149,0.456664257,54,-0.829448362,0.44926271,66,-1.090482864,0.490730651,55,0.243728347,0.569645978,54,-0.235985667,0.546960528,66,0.227543797,0.492716593,55,NA
rhythmic,6,7,2.85,0.36634754853252305,0.867924528,53,0.626865672,67,0.518518519,54,-0.10758702,0.577105519,42,0.069930427,0.80236398,41,-0.369985165,0.394785034,27,-0.740110838,0.654059853,42,0.159140277,0.766553687,41,-0.117268197,0.399141625,27,NA
rib,3,4,1,0,0.886792453,53,0.985294118,68,0.907407407,54,-0.352821932,0.881383358,46,-0.603995972,0.607396176,65,-0.686700643,0.749197296,49,0.626548253,0.885998354,46,0.353276376,0.709355128,65,0.560374296,0.718404271,49,NA
ribbon,5,4,1.8,0.410391340834061,0.886792453,53,0.850746269,67,0.907407407,54,-0.795110016,0.436042512,47,-0.643225014,0.754887361,52,-0.729879807,0.541663237,48,-0.089962998,0.394236191,47,0.349574502,0.719517845,52,0.340537245,0.673516001,48,NA
rich,3,4,1,0,0.962962963,54,0.985074627,67,0.912280702,57,-0.880883355,0.546829165,52,-0.781467411,0.522414434,65,-0.736470704,0.719931747,52,0.034334758,0.529444766,52,-0.244415467,0.449117434,65,-0.363243706,0.735853687,52,NA
riches,5,4,2.45,0.604805318829299,0.740740741,54,0.666666667,66,0.596491228,57,0.066829323,0.796001892,40,0.0509859,0.770605665,41,0.077977419,0.774736274,33,0.035434682,0.863031084,40,0.158501337,0.698166054,41,0.141470898,0.791634546,33,NA
