Occurrences,Word,LgSUBTLWF,OLD,PLD,I_Mean_RT,I_Zscore,I_Mean_Accuracy
1,perky,1.935,1.75,1.8,652,-0.429,1
1,permanent,2.792,3.15,3,697.125,-0.307,0.97
1,permit,2.791,2.25,2.4,663.743,-0.504,1
1,peroxide,1.748,2.95,4.5,895.656,0.37,0.94
1,perpetrator,1.94,3.55,4.3,945.333,0.435,0.94
1,perpetual,1.903,3.6,4.15,706,-0.184,0.97
1,persecute,1.505,3.1,3.95,970.571,0.471,0.88
1,persecution,1.785,3.2,4.35,789.531,0.074,0.94
1,persist,1.792,2.5,2.55,674.375,-0.356,0.97
1,person,4.036,1.85,2,614.606,-0.712,1
1,persona,1.887,2.5,2.9,831.464,0.221,0.88
1,perspiration,1.447,3.55,3.7,837.774,0.197,0.97
1,persuade,2.514,2.8,2.75,658.441,-0.387,0.97
1,persuasion,2.004,3.15,3.35,831.833,0.07,0.94
1,persuasive,2.049,3.35,3.4,828.719,-0.021,0.94
1,pertinent,1.785,2.8,3.4,895.16,0.379,0.78
1,perverse,1.826,2.8,2.7,727.429,-0.065,0.9
1,perversion,1.613,2.9,2.9,868.727,0.345,1
1,pervert,2.548,2.6,2.95,724.355,-0.192,1
1,pesky,1.724,1.9,2,788.192,0.098,0.76
1,pessimist,1.431,3.45,2.9,887.4,0.246,0.78
1,pessimistic,1.491,4.5,4.2,845.121,0.228,0.94
1,pest,2.167,1.15,1,658.912,-0.509,1
1,pester,1.447,1.6,1.7,760.214,-0.019,0.82
1,pestilence,1.491,3.4,3.6,841.429,0.502,0.7
1,petite,1.74,2.3,2.4,655.353,-0.399,0.97
1,petition,2.334,2.55,2.05,720.353,-0.216,1
1,petitioner,1.398,3.5,2.85,742.267,-0.009,0.91
1,petrified,1.949,3,2.85,834.194,0.222,0.91
1,petroleum,1.813,4,3.5,794.148,0.036,0.93
1,petticoat,1.613,3.95,2.95,828.091,0.274,0.97
1,phantom,2.32,3,1.85,730.31,-0.221,0.91
1,Pharaoh,2.053,3,1.65,772.828,-0.02,0.91
1,pharmaceutical,2.021,6.35,5.8,920.655,0.518,0.94
1,pharmacist,1.898,4,3.55,731.939,-0.224,0.94
1,pharmacy,2.245,3.65,2.75,661.758,-0.36,0.97
1,phase,2.799,1.85,1,617,-0.647,0.97
1,pheasant,1.623,2.85,2.45,823.789,0.092,0.58
1,phenomenal,2.075,4.25,3.55,933.286,0.312,0.97
1,phenomenon,2.371,4.7,3.95,674.765,-0.342,1
1,philanthropist,1.663,6,5.55,923.031,0.549,0.94
1,philosopher,2.193,4,3.35,738.455,-0.233,0.97
1,phobia,1.724,2.85,2.35,664.265,-0.474,1
1,phone,4.138,1.65,1,509.531,-0.796,1
1,phonograph,1.756,2.85,2.95,854.857,0.168,0.88
1,phony,2.625,1.8,1.4,710.469,-0.259,0.97
1,phosphate,1.362,3.5,2.85,823.625,0.048,0.91
1,photogenic,1.491,4.3,5.4,934,0.448,0.97
1,photograph,2.763,2.65,3.25,683.818,-0.316,1
1,photographic,1.991,3.1,3.75,824.935,0.131,0.97
1,photography,2.299,2.85,3.35,737.912,-0.216,0.97
1,photon,1.447,2.55,2.85,726.318,-0.128,0.67
1,phrase,2.667,2.1,1,610.794,-0.653,1
1,physical,3.142,2.9,2.35,654.344,-0.521,0.97
1,physician,2.497,3.45,2.45,710.424,-0.254,1
1,physicist,1.845,3.35,3,783.733,-0.003,0.91
1,physics,2.684,2.85,2.4,745.545,-0.238,1
1,physiology,1.699,3.55,3.55,886.571,0.434,0.9
1,physique,1.532,3.8,2.75,804.71,0.033,0.91
1,pi,2.274,1.5,1,712.8,0.072,0.62
1,piazza,1.415,2.75,2.35,864.308,0.61,0.42
1,piccolo,1.819,3.6,2.65,"1,012.167",0.627,0.55
1,picker,1.505,1.55,1.35,644.875,-0.431,0.97
1,picket,2.057,1.65,1.65,771.8,-0.102,0.91
1,pickpocket,1.591,4.8,4.45,732.152,-0.095,0.97
1,picky,2.049,1.85,1.4,614.344,-0.592,0.94
1,picture,3.849,2.4,1.85,541.515,-0.694,1
1,picturesque,1.415,4.85,5.15,981.857,0.578,0.7
1,piece,3.803,1.8,1,620.091,-0.631,1
1,piety,1.477,1.95,1.9,846.107,0.139,0.82
1,piggyback,1.748,4.25,3.65,833.667,0.16,0.97
1,pigheaded,1.544,3.65,3.65,800.839,0.07,0.91
1,piglet,2.037,2.2,2.2,747.968,-0.106,0.94
1,pigsty,1.643,2.6,3.7,911.467,0.625,0.44
1,pilgrimage,1.771,4.4,4.45,938.63,0.437,0.87
1,pillage,1.505,2.3,2.1,740.15,0.112,0.61
1,pillow,2.765,1.85,1.65,601.265,-0.624,1
1,pillowcase,1.532,4.55,3.9,720.4,-0.231,0.97
1,pinball,1.898,2.9,2.85,666.781,-0.563,0.97
1,pineapple,2.117,3.9,3.9,742.567,-0.289,0.91
1,ping,2.228,1.3,1,716.704,-0.251,0.79
1,pinkie,1.935,2.5,1.7,884.391,0.209,0.74
1,pinnacle,1.362,3.1,2.6,741.719,-0.153,1
1,pinpoint,1.968,2.8,3.55,702.111,-0.174,1
1,pint,2.225,1.15,1.7,648.97,-0.253,0.97
1,pinup,1.462,2,2.8,772.077,0.177,0.74
1,pious,1.69,2,1.85,748.769,-0.029,0.81
1,pipeline,2.061,2.75,2.65,748.848,-0.21,1
1,pipsqueak,1.362,4.6,4.65,892.05,0.688,0.62
1,piracy,1.623,2.7,2.4,921.885,0.305,0.79
1,pirate,2.575,1.9,1.85,695.061,-0.428,1
1,piss,3.081,1.5,1,672.806,-0.462,0.94
1,pistachio,1.892,4.3,3.95,821.724,0.143,0.91
1,pitcher,2.22,1.85,1.7,597.941,-0.634,1
1,pitchfork,1.556,4.1,4.25,689.594,-0.314,0.94
1,pitiful,2.295,2.85,2.9,793.533,0.015,0.91
1,pituitary,1.518,3.9,3.85,907.786,0.257,0.82
1,pity,3.079,1.7,1.15,633.312,-0.567,0.94
1,pivotal,1.653,2.95,2.8,843.643,0.175,0.85
1,pixie,1.633,2.35,1.8,683.4,-0.285,0.97
1,place,4.488,1.55,1.4,588.844,-0.712,0.94
1,placebo,1.58,2.85,3.75,697.25,-0.365,0.94
1,placement,1.996,2.9,2.65,649.212,-0.416,1
1,placenta,1.398,3,3.75,815.667,-0.013,0.91
1,placid,1.477,2,2,682.667,-0.19,0.94
1,plague,2.628,2.35,1.55,665.788,-0.374,1
1,plaintiff,2.274,3.6,2.7,677.455,-0.252,0.94
1,plan,3.871,1.5,1.35,601.147,-0.772,1
1,planetarium,1.322,4.5,4.55,779.567,-0.02,0.94
1,planetary,1.748,3.35,3.45,867.593,0.254,0.82
1,planner,1.924,1.8,1.7,622.382,-0.633,1
1,plantation,2.233,2.75,3.25,751.406,-0.053,1
1,planter,1.518,1.7,1.6,688.03,-0.371,0.97
1,plasma,2.406,2.65,2.8,696.471,-0.353,1
1,plaster,2.13,1.85,1.85,662.655,-0.481,0.85
1,plateau,1.477,2.75,2,688.067,-0.226,0.94
1,platform,2.497,3.35,3.75,658.969,-0.429,0.97
1,plating,1.362,,,,,
1,platonic,1.799,3.05,3.6,766.194,-0.156,0.94
1,platoon,2.567,2.65,2.8,720.2,-0.185,0.94
1,platter,2.176,1.6,1.45,690.065,-0.354,0.97
1,plausible,1.924,3.65,2.9,704.424,-0.275,0.97
1,play,4.257,1.45,1.1,537.909,-0.961,1
1,playback,1.881,3.2,2.7,626.324,-0.577,1
1,playboy,2.337,3,2.85,653.971,-0.575,1
1,player,3.285,1.75,1.8,535.471,-0.846,1
1,playful,1.778,2.9,2.5,630.219,-0.585,0.94
1,playground,2.417,4.15,3.95,619.121,-0.552,1
1,playhouse,1.532,3.25,2.85,679.406,-0.476,1
1,playoff,1.505,2.9,2.7,712.031,-0.317,1
1,playroom,1.623,3.2,2.85,599.75,-0.583,0.97
1,plaything,1.415,2.9,2.85,836.241,0.077,0.88
1,playtime,1.69,2.9,2.8,621.188,-0.713,1
1,playwright,1.863,4,2.95,666.355,-0.265,0.94
1,plea,2.544,1.75,1.35,664.129,-0.499,0.94
1,plead,2.554,1.75,1.4,624.333,-0.434,0.97
